riskType,text
AUTH_RISK,"@PostMapping(""/admin/orders/{id}/force-ship"") public void forceShip(Long id) { orderService.forceShip(id); } missing PreAuthorize admin role"
AUTH_RISK,"diff adds /admin/users/disable endpoint without hasRole ADMIN or permission check"
AUTH_RISK,"controller exposes /admin/refund route and only checks login user not role"
AUTH_RISK,"management api path /admin/config/update has no authorization annotation"
SQL_INJECTION,"String sql = ""select * from orders where keyword = '"" + keyword + ""'""; jdbcTemplate.query(sql)"
SQL_INJECTION,"query concat user input select id from user where name = "" + request.getName()"
SQL_INJECTION,"repository builds SQL with concat and raw parameter from keyword"
SQL_INJECTION,"where condition uses string concatenation instead of prepared statement"
NULL_POINTER,"Order order = orderRepository.findById(id).get(); return order.getStatus();"
NULL_POINTER,"User user = userService.getById(userId); user.getName().trim(); no null check"
NULL_POINTER,"Optional result get called directly after findById without orElseThrow"
NULL_POINTER,"payment.getChannel().equals(""CARD"") after nullable payment query"
BUSINESS_RULE_RISK,"removed payStatus PAID validation before shipping order"
BUSINESS_RULE_RISK,"force ship order no longer checks payment status or order state"
BUSINESS_RULE_RISK,"delete stock reservation without checking order canceled rule"
BUSINESS_RULE_RISK,"refund success path skips original payment status verification"
TRANSACTION_RISK,"save order then update stock then insert payment record but method has no @Transactional"
TRANSACTION_RISK,"multiple database writes across order and inventory without transaction boundary"
TRANSACTION_RISK,"create shipment updates two tables and sends message before commit no transaction"
TRANSACTION_RISK,"deduct balance and save bill in same service without rollback protection"
PERFORMANCE_RISK,"for each order query user detail in loop causing N plus one problem"
PERFORMANCE_RISK,"loads all records with findAll then filters in memory by status"
PERFORMANCE_RISK,"nested loop scans product list and order lines for every request"
PERFORMANCE_RISK,"unbounded page size export all orders through API"
UNKNOWN,"rename variable orderName to displayName without behavior change"
UNKNOWN,"update README text and add code comments"
UNKNOWN,"format controller import order and adjust whitespace"
UNKNOWN,"change log message wording for successful operation"
